comb,fit_error,test_error,score,dif
"[1, 2, 1, 4, 4]",18906.94117,19371.05208,0.920792408,464.1109098
"[1, 4, 2, 3, 3]",18851.12086,19373.79695,0.921397217,522.6760904
"[1, 2, 3, 3, 1]",18946.85991,19376.18965,0.920608035,429.3297366
"[1, 2, 4, 3, 1]",18955.93318,19377.78927,0.92061,421.8560808
"[2, 2, 4, 2, 4]",19135.991,19378.02698,0.922047055,242.0359847
"[1, 2, 1, 2, 1]",19037.46931,19379.68236,0.919835993,342.2130523
"[2, 4, 3, 1, 1]",19332.50688,19384.05322,0.920480517,51.54634351
"[2, 4, 4, 4, 4]",19060.69866,19385.08328,0.922465467,324.3846142
"[2, 4, 3, 4, 4]",19062.65476,19385.27048,0.922465423,322.6157212
"[1, 4, 3, 3, 3]",18838.16863,19385.44434,0.92144479,547.2757126
"[1, 4, 4, 3, 3]",18835.60655,19386.59597,0.92144446,550.9894182
"[2, 2, 2, 3, 4]",19116.08049,19387.17287,0.921976176,271.0923844
"[2, 4, 4, 1, 1]",19319.50707,19387.21743,0.920482239,67.71036475
"[2, 2, 3, 2, 4]",19148.50889,19389.27631,0.922045643,240.767419
"[2, 4, 4, 2, 1]",19143.11423,19391.40603,0.921803504,248.2918027
"[1, 2, 2, 3, 3]",18969.02568,19391.63896,0.920941623,422.6132786
"[1, 1, 2, 2, 4]",18987.25372,19394.76022,0.920534242,407.5064991
"[2, 4, 2, 3, 1]",19119.43201,19397.39325,0.921710952,277.9612392
"[1, 4, 1, 1, 3]",19107.38314,19399.31171,0.919291573,291.9285768
"[2, 2, 2, 1, 4]",19331.43061,19401.14919,0.920785775,69.71857223
"[1, 3, 4, 2, 4]",18913.25528,19403.14414,0.921233193,489.8888616
"[1, 2, 2, 2, 3]",18941.84674,19403.34867,0.921030623,461.5019256
